,Opening,Notation
137,"Sicilian, Lowenthal",1.e4 c5 2. Nf3 Nc6 3.d4 cxd4 4. Nxd4 e5
138,"Sicilian, 2...Nc6, Other 5th moves","1.e4 c5 2. Nf3 Nc6 3.d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6, a6, Qb6"
139,"Sicilian, Accelerated Dragon",1.e4 c5 2. Nf3 Nc6 3.d4 cxd4 4. Nxd4 g6
140,"Sicilian, Sveshnikov (Pelican)",1.e4 c5 2. Nf3 Nc6 3.d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5 6. Ndb5 d6
141,"Sicilian, Kan (Paulsen) Other 5th moves","1.e4 c5 2. Nf3 e6 3.d4 cxd4 4. Nxd4 a6 5. Be2, Be3, g3"
142,"Sicilian, Kan (Paulsen), 5.c4",1.e4 c5 2. Nf3 e6 3.d4 cxd4 4. Nxd4 a6 5.c4
143,"Sicilian, Kan (Paulsen), 5. c3",1.e4 c5 2. Nf3 e6 3.d4 cxd4 4. Nxd4 a6 5. Nc3
144,"Sicilian, Kan (Paulsen), 5. d3",1.e4 c5 2. Nf3 e6 3.d4 cxd4 4. Nxd4 a6 5. Bd3
145,"Sicilian, Taimanov Other 5th moves","1.e4 c5 2. Nf3 e6 3.d4 cxd4 4. Nxd4 Nc6 5. Be3, Nxc6, c4, Be2, g3"
146,"Sicilian, Taimanov, 5. b5",1.e4 c5 2. Nf3 e6 3.d4 cxd4 4. Nxd4 Nc6 5. Nb5
147,"Sicilian, Taimanov, Main Line",1.e4 c5 2. Nf3 e6 3.d4 cxd4 4. Nxd4 Nc6 5. Nc3
148,"Sicilian, Moscow Variation",1.e4 c5 2. Nf3 d6 3. Bb5+
149,"Sicilian, 2...d6, 4. xd4",1.e4 c5 2. Nf3 d6 3.d4 cxd4 4. Qxd4
150,"Sicilian, Dragon Other 6th moves","1.e4 c5 2. Nf3 d6 3.d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6.g3, f4, f3, Bg5"
151,"Sicilian, Dragon 6. e2 and 6. c4","1.e4 c5 2. Nf3 d6 3.d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6. Be2, Bc4"
152,"Sicilian, Dragon Yugoslav Attack",1.e4 c5 2. Nf3 d6 3.d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6. Be3 Bg7 7.f3
153,"Sicilian, Classical Other 6th moves","1.e4 c5 2. Nf3 d6 3.d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Be2, Be3, f3, g3, f4"
154,"Sicilian, Classical, Sozin",1.e4 c5 2. Nf3 d6 3.d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Bc4
155,"Sicilian, Classical Richter-Rauzer",1.e4 c5 2. Nf3 d6 3.d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Bg5
156,"Sicilian, Scheveningen",1.e4 c5 2. Nf3 d6 3.d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6
157,"Sicilian, Najdorf, 6.a4",1.e4 c5 2. Nf3 d6 3.d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6.a4
158,"Sicilian, Najdorf, 6.g3",1.e4 c5 2. Nf3 d6 3.d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6.g3
159,"Sicilian, Najdorf, 6.f3",1.e4 c5 2. Nf3 d6 3.d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6.f3
160,"Sicilian, Najdorf, 6.f4",1.e4 c5 2. Nf3 d6 3.d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6.f4
161,"Sicilian, Najdorf 6. c4 (Fischer-Sozin)",1.e4 c5 2. Nf3 d6 3.d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bc4
162,"Sicilian, Najdorf, 6. e3",1.e4 c5 2. Nf3 d6 3.d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Be3
163,"Sicilian, Najdorf, 6. e2",1.e4 c5 2. Nf3 d6 3.d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Be2
164,"Sicilian, Najdorf 6. g5 (Main Line)",1.e4 c5 2. Nf3 d6 3.d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bg5
165,Center Game and Danish Gambit,1.e4 e5 2.d4 exd4
166,Bishop's Opening,1.e4 e5 2. Bc4
167,King's Gambit,1.e4 e5 2.f4
168,Vienna,1.e4 e5 2. Nc3
169,Latvian Gambit and Elephant Gambit,"1.e4 e5 2. Nf3 f5, d5"
170,Philidor,1.e4 e5 2. Nf3 d6
171,"Petroff, Other 3rd moves","1.e4 e5 2. Nf3 Nf6 3. Nc3, d4, d3, Bc4"
172,"Petroff, Main Line",1.e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4
173,Ponziani,1.e4 e5 2. Nf3 Nc6 3.c3
174,Three Knights,"1.e4 e5 2. Nf3 Nc6 3. Nc3 Bc5, g6, d6, Bb4"
175,Four Knights,1.e4 e5 2. Nf3 Nc6 3. Nc3 Nf6
176,Goring Gambit,1.e4 e5 2. Nf3 Nc6 3.d4 exd4 4.c3
