,Opening,Notation
261,"Sicilian, Taimanov Other 5th moves",1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Be2
262,"Sicilian, Taimanov Other 5th moves",1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.g3
263,"Sicilian, Taimanov, 5. b5",1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Nb5
264,"Sicilian, Taimanov, Main Line",1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Nc3
265,"Sicilian, Moscow Variation",1.e4 c5 2.Nf3 d6 3.Bb5+
266,"Sicilian, 2...d6, 4. xd4",1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Qxd4
267,"Sicilian, Dragon Other 6th moves",1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.g3
268,"Sicilian, Dragon Other 6th moves",1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.f4
269,"Sicilian, Dragon Other 6th moves",1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.f3
270,"Sicilian, Dragon Other 6th moves",1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Bg5
271,"Sicilian, Dragon 6. e2 and 6. c4",1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be2
272,"Sicilian, Dragon 6. e2 and 6. c4",1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Bc4
273,"Sicilian, Dragon Yugoslav Attack",1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 g6 6.Be3 Bg7 7.f3
274,"Sicilian, Classical Other 6th moves",1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Be2
275,"Sicilian, Classical Other 6th moves",1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Be3
276,"Sicilian, Classical Other 6th moves",1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.f3
277,"Sicilian, Classical Other 6th moves",1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.g3
278,"Sicilian, Classical Other 6th moves",1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.f4
279,"Sicilian, Classical, Sozin",1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bc4
280,"Sicilian, Classical Richter-Rauzer",1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5
281,"Sicilian, Scheveningen",1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e6
282,"Sicilian, Najdorf, 6.a4",1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.a4
283,"Sicilian, Najdorf, 6.g3",1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.g3
284,"Sicilian, Najdorf, 6.f3",1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.f3
285,"Sicilian, Najdorf, 6.f4",1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.f4
286,"Sicilian, Najdorf 6. c4 (Fischer-Sozin)",1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.Bc4
287,"Sicilian, Najdorf, 6. e3",1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.Be3
288,"Sicilian, Najdorf, 6. e2",1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.Be2
289,"Sicilian, Najdorf 6. g5 (Main Line)",1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.Bg5
290,Center Game and Danish Gambit,1.e4 e5 2.d4 exd4
291,Bishop's Opening,1.e4 e5 2.Bc4
292,King's Gambit,1.e4 e5 2.f4
293,Vienna,1.e4 e5 2.Nc3
294,Latvian Gambit and Elephant Gambit,1.e4 e5 2.Nf3 f5
295,Latvian Gambit and Elephant Gambit,1.e4 e5 2.Nf3 d5
296,Philidor,1.e4 e5 2.Nf3 d6
297,"Petroff, Other 3rd moves",1.e4 e5 2.Nf3 Nf6 3.Nc3
298,"Petroff, Other 3rd moves",1.e4 e5 2.Nf3 Nf6 3.d4
299,"Petroff, Other 3rd moves",1.e4 e5 2.Nf3 Nf6 3.d3
300,"Petroff, Other 3rd moves",1.e4 e5 2.Nf3 Nf6 3.Bc4
301,"Petroff, Main Line",1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nf3 Nxe4
302,Ponziani,1.e4 e5 2.Nf3 Nc6 3.c3
303,Three Knights,1.e4 e5 2.Nf3 Nc6 3.Nc3 Bc5
304,Three Knights,1.e4 e5 2.Nf3 Nc6 3.Nc3 g6
305,Three Knights,1.e4 e5 2.Nf3 Nc6 3.Nc3 d6
306,Three Knights,1.e4 e5 2.Nf3 Nc6 3.Nc3 Bb4
307,Four Knights,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6
308,Goring Gambit,1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.c3
309,Scotch Gambit,1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Bc4
310,"Scotch, Other 4th moves",1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Nxd4 Qh4
311,"Scotch, Other 4th moves",1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Nxd4 Nxd4
312,"Scotch, Other 4th moves",1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Nxd4 Qf6
313,"Scotch, Other 4th moves",1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Nxd4 Bb4+
314,"Scotch, Other 4th moves",1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Nxd4 d6
315,"Scotch, Other 4th moves",1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Nxd4 g6
316,"Scotch, 4... f6",1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Nxd4 Nf6
317,"Scotch, 4... c5",1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Nxd4 Bc5
318,Hungarian,1.e4 e5 2.Nf3 Nc6 3.Bc4 Be7
319,Two Knights,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6
320,Giuoco Piano (Italian Game),1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5
321,Ruy Lopez (Spanish) Other 3rd moves,1.e4 e5 2.Nf3 Nc6 3.Bb5 d6
322,Ruy Lopez (Spanish) Other 3rd moves,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nd4
323,Ruy Lopez (Spanish) Other 3rd moves,1.e4 e5 2.Nf3 Nc6 3.Bb5 g6
324,Ruy Lopez (Spanish) Other 3rd moves,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nge7
325,"Ruy Lopez (Spanish), Classical",1.e4 e5 2.Nf3 Nc6 3.Bb5 Bc5
326,Ruy Lopez (Spanish) Schliemann,1.e4 e5 2.Nf3 Nc6 3.Bb5 f5
327,"Ruy Lopez (Spanish), Berlin",1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6
328,"Ruy Lopez (Spanish), Exchange",1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Bxc6
329,Ruy Lopez (Spanish) Modern Steinitz,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 d6
330,Ruy Lopez (Spanish) Other 5th moves,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.d3
331,Ruy Lopez (Spanish) Other 5th moves,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.d4
332,Ruy Lopez (Spanish) Other 5th moves,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.Qe2
333,"Ruy Lopez (Spanish), Open",1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Nxe4
334,Ruy Lopez (Spanish) Moeller and Steinitz Deferred,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Bc5
335,Ruy Lopez (Spanish) Moeller and Steinitz Deferred,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O d6
336,Ruy Lopez (Spanish) Archangelsk,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O b5 6.Bb3 Bb7
337,Ruy Lopez (Spanish) Other 6th moves,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Bxc6
338,Ruy Lopez (Spanish) Other 6th moves,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Qe2
339,Ruy Lopez (Spanish) Other 6th moves,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.d4
340,Ruy Lopez (Spanish) Other 6th moves,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.d3
341,Ruy Lopez (Spanish) Other 6th moves,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Nc3
342,Ruy Lopez (Spanish) Anti-Marshall,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.a4
343,Ruy Lopez (Spanish) Anti-Marshall,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.h3
344,Ruy Lopez (Spanish) Anti-Marshall,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.d4
345,Ruy Lopez (Spanish) Anti-Marshall,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.d3
346,Ruy Lopez (Spanish) Marshall Attack,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 O-O 8.c3 d5
347,Ruy Lopez (Spanish) Other 9th moves,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 d6 8.c3 O-O 9.d4
348,Ruy Lopez (Spanish) Other 9th moves,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 d6 8.c3 O-O 9.d3
349,Ruy Lopez (Spanish) Other 9th moves,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 d6 8.c3 O-O 9.a4
350,"Ruy Lopez (Spanish) Karpov, Smyslov and Kholmov",1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 d6 8.c3 O-O 9.h3 Nd7
351,"Ruy Lopez (Spanish) Karpov, Smyslov and Kholmov",1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 d6 8.c3 O-O 9.h3 h6
352,"Ruy Lopez (Spanish) Karpov, Smyslov and Kholmov",1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 d6 8.c3 O-O 9.h3 Be6
353,"Ruy Lopez (Spanish), Breyer",1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 d6 8.c3 O-O 9.h3 Nb8
354,Ruy Lopez (Spanish) Flohr-Zaitsev,1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 d6 8.c3 O-O 9.h3 Bb7
355,Ruy Lopez (Spanish) Chigorin (Main Line),1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.O-O Be7 6.Re1 b5 7.Bb3 d6 8.c3 O-O 9.h3 Na5 10.Bc2 c5 11.d4
356,"English, 1...b6",1.c4 b6
357,"English, 1...f5",1.c4 f5
358,"English, 1...c6",1.c4 c6
359,"English, 1...g6",1.c4 g6
360,"English, Symmetrical Double Fianchetto",1.c4 c5 2.Nf3 Nf6 3.g3 b6 4.Bg2 Bb7 5.O-O g6
361,"English, Symmetrical, Hedgehog",1.c4 c5 2.Nf3 Nf6 3.g3 b6 4.Bg2 Bb7 5.O-O e6
362,"English, Symmetrical, 3.d4",1.c4 c5 2.Nf3 Nf6 3.d4
363,"English, Symmetrical Other Black 3rd moves",1.c4 c5 2.Nc3 Nf6 3.Nf3 e6
364,"English, Symmetrical Other Black 3rd moves",1.c4 c5 2.Nc3 Nf6 3.Nf3 d5
365,"English, Symmetrical Other Black 3rd moves",1.c4 c5 2.Nc3 Nf6 3.Nf3 g6
366,"English, Symmetrical Other Black 3rd moves",1.c4 c5 2.Nc3 Nf6 3.Nf3 b6
367,"English, Symmetrical Four Knights",1.c4 c5 2.Nc3 Nf6 3.Nf3 Nc6
368,"English, Symmetrical, Main Line",1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7
369,"English, Symmetrical 1...e6, 2. f3 d5",1.c4 e6 2.Nf3 d5
370,"English, Symmetrical 1...e6, 2. c3 d5",1.c4 e6 2.Nc3 d5
371,"English, Flohr-Mikenas",1.c4 e6 2.Nc3 Nf6 3.e4
372,"English, 1...e6, Main Line",1.c4 e6 2.Nc3 Nf6 3.Nf3
373,"English, Sicilian Reversed, 2.g3",1.c4 e5 2.g3
374,"English, Sicilian Reversed Other Black 2nd moves",1.c4 e5 2.Nc3 d6
375,"English, Sicilian Reversed Other Black 2nd moves",1.c4 e5 2.Nc3 Bb4
376,"English, Sicilian Reversed Four Knights",1.c4 e5 2.Nc3 Nf6 3.Nf3 Nc6
377,"English, Sicilian Reversed Bremen",1.c4 e5 2.Nc3 Nf6 3.g3
378,"English, Sicilian Reversed Closed",1.c4 e5 2.Nc3 Nc6
379,"English, 1... f6, 2.g3",1.c4 Nf6 2.g3
380,"English, 1... f6, 2. f3 Anglo-Indian",1.c4 Nf6 2.Nf3 g6 3.g3 Bg7 4.Bg2 O-O
381,"English, 1... f6, 2. c3 Anglo-Indian",1.c4 Nf6 2.Nc3 g6
382,"Reti, 2.b3",1.Nf3 d5 2.b3
383,"Reti, 2.c4",1.Nf3 d5 2.c4
384,"Reti, King's Indian Attack",1.Nf3 d5 2.g3
385,Bird,1.f4
386,Nimzowitsch-Larsen,1.b3
387,Sokolsky,1.b4
388,Dunst,1.Nc3
